Event ID#,Year,Month,Day,State,City,Group,Unaffiliated Individual,Claim,Successful,Suicide,Type,Target,Weapon,Casualties,Property Damage,Kidnapping,Ransom Demand,Dominant Ideology
197001010002,1970,1,1,Illinois,Cairo,Black Nationalists,0,0,1,0,Armed Assault,Police,Firearms,0,1,0,0,Extreme Left Wing
197001020003,1970,1,2,Wisconsin,Madison,New Year's Gang,0,1,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Single Issue
197001030001,1970,1,3,Wisconsin,Madison,New Year's Gang,0,0,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,1,0,0,Single Issue
197001050001,1970,1,1,Wisconsin,Baraboo,"Weather Underground, Weathermen",0,0,0,0,Bombing/Explosion,Military,Explosives,0,0,0,0,Extreme Left Wing
197001060001,1970,1,6,Colorado,Denver,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Military,Incendiary,0,1,0,0,Extreme Left Wing
197001090001,1970,1,9,Michigan,Detroit,Left-Wing Militants,0,0,1,0,Facility/Infrastructure Attack,Government (General),Incendiary,0,1,0,0,Extreme Left Wing
197001090002,1970,1,9,Puerto Rico,Rio Piedras,Armed Commandos of Liberation,0,1,1,0,Facility/Infrastructure Attack,Business,Incendiary,0,1,0,0,Ethnonationalist-Separatist
197001120001,1970,1,12,New York,New York City,Black Nationalists,0,0,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Extreme Left Wing
197001120002,1970,1,12,Puerto Rico,Rio Grande,Strikers,0,0,1,0,Bombing/Explosion,Business,Explosives,0,0,0,0,Single Issue
197001130001,1970,1,13,Washington,Seattle,Black Nationalists,0,0,1,0,Facility/Infrastructure Attack,Business,Incendiary,0,1,0,0,Extreme Left Wing
197001140001,1970,1,14,Illinois,Champaign,Black Nationalists,0,0,1,0,Facility/Infrastructure Attack,Police,Incendiary,1,1,0,0,Extreme Left Wing
197001190002,1970,1,19,Washington,Seattle,Black Nationalists,0,0,1,0,Bombing/Explosion,Educational Institution,Explosives,0,1,0,0,Extreme Left Wing
197001190003,1970,1,19,Washington,Seattle,Student Radicals,0,0,0,0,Bombing/Explosion,Military,Explosives,0,0,0,0,Extreme Left Wing
