Event ID#,Year,Month,Day,State,City,LAT,LONG,Summary,Successful,Suicide,Attack Type,Attack Type Text,Target Type,Target Type Text,Target,ORGNAME,Motive,Unaffiliated Individual,Claim,Weapon Type,Weapon Type Text,Weapon Sub-Type,Weapon Sub-Type Text, Number Killed,Number Wounded,Number Attackers Killed,Number Atackers Wounded,Property Damage,Property Damage Extent,Damage Extent Text,Kidnapping,Number Hostages,Ransom Demand,Hostage/Kidnapping Outcome
197001010002,1970,1,1,Illinois,Cairo,37.005105,-89.176269,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States. There were no casualties, however, one bullet narrowly missed several police officers. This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",1,0,2,Armed Assault,3,Police,Cairo Police Headquarters,Black Nationalists,To protest the Cairo Illinois Police Deparment,0,0,5,Firearms,5,Unknown Gun Type,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001020002,1970,1,2,California,Oakland,37.791927,-122.225906,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States. Three transformers were damaged costing an estimated $20,000 to $25,000. There were no casualties.",1,0,3,Bombing/Explosion,21,Utilities,Edes Substation,Unknown,,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001020003,1970,1,2,Wisconsin,Madison,43.076592,-89.412488,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States. There were no casualties but the fire caused around $60,000 in damages to the building.",1,0,7,Facility/Infrastructure Attack,4,Military,"R.O.T.C. offices at University of Wisconsin, Madison",New Year's Gang,To protest the War in Vietnam and the draft,0,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001030001,1970,1,3,Wisconsin,Madison,43.07295,-89.386694,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building. Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab. The fire caused slight damages and was extinguished almost immediately.",1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service Headquarters in Madison Wisconsin,New Year's Gang,To protest the War in Vietnam and the draft,0,0,8,Incendiary,20,Gasoline or Alcohol,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001050001,1970,1,1,Wisconsin,Baraboo,43.4685,-89.744299,,0,0,3,Bombing/Explosion,4,Military,Badger Army ammo depot.,"Weather Underground, Weathermen",,0,,6,Explosives,16,Unknown Explosive Type,0,0,,,0,3,Minor (likely < $1 million),0,,0,
197001060001,1970,1,6,Colorado,Denver,39.758968,-104.876305,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States. There were no casualties but damages to the station were estimated at $305.",1,0,7,Facility/Infrastructure Attack,4,Military,"Army Recruiting Station, Denver Colorado",Left-Wing Militants,Protest the draft and Vietnam War,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001090001,1970,1,9,Michigan,Detroit,42.331685,-83.047924,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States. The facility housed federal employees. The building was damaged but there were no casualties.",1,0,7,Facility/Infrastructure Attack,2,Government (General),Packard Properties building of Detroit Michigan,Left-Wing Militants,,0,0,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001090002,1970,1,9,Puerto Rico,Rio Piedras,18.386932,-66.061127,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico. There were no casualties but the store was destroyed at a cost of $2,000,000.",1,0,7,Facility/Infrastructure Attack,1,Business,Baker's Store,Armed Commandos of Liberation,To protest United States owned businesses in Puerto Rico,0,1,8,Incendiary,18,Arson/Fire,0,0,0,0,1,2,Major (likely >= $1 million but < $1 billion),0,,0,
197001120001,1970,1,12,New York,New York City,40.697132,-73.931351,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States. There were no casualties but the explosion caused minor damages. Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",1,0,3,Bombing/Explosion,8,Educational Institution,James Madison High School,Black Nationalists,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,0,0,6,Explosives,31,Pipe Bomb,0,0,0,0,1,3,Minor (likely < $1 million),0,,0,
197001120002,1970,1,12,Puerto Rico,Rio Grande,18.379998,-65.830948,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike. There were no casualties and it is unknown if the factory sustained any damages.",1,0,3,Bombing/Explosion,1,Business,General Electric factory in Rio Grande Puerto Rico,Strikers,,0,0,6,Explosives,16,Unknown Explosive Type,0,0,0,0,-9,4,Unknown,0,,0,
